Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Max Aarons,Premier League,eng ENG,DF,Norwich City,21,2000,34,32,2881,32,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0,0.06,0.06,0,0.06,0.03,0.05,0.08,0.03,0.08,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1
2,Che Adams,Premier League,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0
3,Rayan Aït Nouri,Premier League,fr FRA,DFMF,Wolves,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.6,1.6,2.2,60,49,127,0.05,0.1,0.15,0.05,0.15,0.03,0.08,0.11,0.03,0.11,64,36,46,15,3,22,44,50,22,24,2,22,22,86,39,1
4,Kristoffer Ajer,Premier League,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.8,1.7,2.5,30,82,29,0.05,0.14,0.18,0.05,0.18,0.04,0.08,0.11,0.04,0.11,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0
5,Nathan Aké,Premier League,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.2,0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12,16,9,7,8,1,6,8,75,2,7,5,2,8,24,23,0
6,Marc Albrighton,Premier League,eng ENG,FWDF,Leicester City,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.2,0.04,0.2,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0
7,Thiago Alcántara,Premier League,es ESP,MF,Liverpool,30,1991,25,17,1534,17,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2
8,Trent Alexander-Arnold,Premier League,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46,40,23,19,13,8,27,60,45,33,22,4,18,43,83,40,0
9,Alisson,Premier League,br BRA,GK,Liverpool,28,1992,36,36,3240,36,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,3,1,3,0,0,3,5,60,2,1,0,1,0,3,28,1
10,Allan,Premier League,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0,0.08,0.08,0,0.08,0.01,0.03,0.04,0.01,0.04,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1
11,Dele Alli,Premier League,eng ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,1,0,1,1,1,0,1.6,0.8,0.3,1.1,8,18,22,0.14,0,0.14,0,0,0.22,0.04,0.26,0.11,0.15,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0
