Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Yunis Abdelhamid,Ligue 1,ma MAR,DF,Reims,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2,23,119,14,0.06,0,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,48,27,34,14,0,16,32,50,16,50,25,25,68,116,104,0
2,Salis Abdul Samed,Ligue 1,gh GHA,MF,Clermont Foot,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0
3,Laurent Abergel,Ligue 1,fr FRA,MF,Lorient,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0,0.06,0.06,0,0.06,0.04,0.11,0.16,0.04,0.16,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0
4,Charles Abi,Ligue 1,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
5,Matthis Abline,Ligue 1,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,2,6,0,0,0,0,0,0.24,0,0.24,0.24,0.24,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
6,Mohamed Achi,Ligue 1,fr FRA,MF,Nantes,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Martin Adeline,Ligue 1,fr FRA,MFFW,Reims,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.8,5,16,13,0,0,0,0,0,0.09,0.12,0.21,0.09,0.21,15,11,5,8,2,8,16,50,8,0,0,0,11,26,6,0
8,Yacine Adli,Ligue 1,fr FRA,MFFW,Bordeaux,21,2000,36,25,2260,25.1,1,7,8,1,0,0,5,0,2,2,5.7,7.7,66,164,99,0.04,0.28,0.32,0.04,0.32,0.08,0.23,0.31,0.08,0.31,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2
9,Lucien Agoume,Ligue 1,fr FRA,MF,Brest,19,2002,27,21,1868,20.8,0,0,0,0,0,0,6,0,1.2,1.1,0.7,1.7,16,116,28,0,0,0,0,0,0.06,0.03,0.09,0.05,0.08,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1
10,Nayef Aguerd,Ligue 1,ma MAR,DF,Rennes,25,1996,31,31,2735,30.4,2,2,4,2,0,0,3,1,2.1,2.1,0.3,2.4,11,101,1,0.07,0.07,0.13,0.07,0.13,0.07,0.01,0.08,0.07,0.08,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1
11,Ruben Aguilar,Ligue 1,fr FRA,DF,Monaco,28,1993,28,22,2140,23.8,0,2,2,0,0,0,4,0,0.3,0.3,0.9,1.2,61,157,101,0,0.08,0.08,0,0.08,0.01,0.04,0.05,0.01,0.05,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0
12,Anel Ahmedhodzic,Ligue 1,ba BIH,DF,Bordeaux,22,1999,15,15,1350,15,0,1,1,0,0,0,6,0,0.4,0.4,0.9,1.3,18,63,12,0,0.07,0.07,0,0.07,0.03,0.06,0.09,0.03,0.09,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0
13,Jean-Eudes Aholou,Ligue 1,ci CIV,MF,Strasbourg,27,1994,25,11,1004,11.2,1,1,2,1,0,0,2,0,1.9,1.9,0.8,2.7,16,38,39,0.09,0.09,0.18,0.09,0.18,0.17,0.08,0.24,0.17,0.24,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0
14,Ludovic Ajorque,Ligue 1,fr FRA,FW,Strasbourg,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,10.6,8.3,7,15.3,21,69,217,0.39,0.26,0.66,0.3,0.56,0.35,0.23,0.58,0.27,0.5,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1
15,Maghnes Akliouche,Ligue 1,fr FRA,MFFW,Monaco,19,2002,7,0,54,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,2,5,7,0,0,0,0,0,0.24,0.06,0.3,0.24,0.3,2,0,0,2,0,0,1,0,1,2,0,2,0,2,0,0
16,Sofiane Alakouch,Ligue 1,ma MAR,DFMF,Metz,23,1998,4,0,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0,3,5,10,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,7,4,3,4,0,2,5,40,3,4,0,4,1,8,4,0
17,Josué Albert,Ligue 1,gf GUF,DF,Clermont Foot,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.13,0,0.13,0.13,0.13,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
18,Doğan Alemdar,Ligue 1,tr TUR,GK,Rennes,18,2002,12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
19,Mohamed Ali Cho,Ligue 1,fr FRA,FW,Angers,17,2004,32,21,1837,20.4,4,1,5,4,0,0,6,2,6.4,6.4,2.7,9.1,60,22,150,0.2,0.05,0.24,0.2,0.24,0.31,0.13,0.44,0.31,0.44,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1
20,Jim Allevinah,Ligue 1,ga GAB,FW,Clermont Foot,26,1995,30,13,1488,16.5,1,2,3,1,0,0,1,0,2.8,2.8,1.9,4.7,77,56,118,0.06,0.12,0.18,0.06,0.18,0.17,0.12,0.29,0.17,0.29,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0
21,Ibrahim Amadou,Ligue 1,fr FRA,DFMF,Metz,28,1993,10,10,812,9,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,6,21,1,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0
22,Jordan Amavi,Ligue 1,fr FRA,DF,Nice,27,1994,8,4,413,4.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,13,28,21,0,0,0,0,0,0,0.02,0.02,0,0.02,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0
23,Jordan Amavi,Ligue 1,fr FRA,DFFW,Marseille,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,0,0,0,0,0,0.03,0.03,0,0.03,6,5,3,1,2,5,10,50,5,1,0,1,1,7,3,0
24,Benjamin André,Ligue 1,fr FRA,MF,Lille,30,1990,33,33,2752,30.6,2,1,3,2,0,0,12,1,1.4,1.4,1.3,2.7,38,178,59,0.07,0.03,0.1,0.07,0.1,0.05,0.04,0.09,0.05,0.09,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0
25,Houssem Aouar,Ligue 1,fr FRA,MFFW,Lyon,23,1998,36,29,2504,27.8,6,4,10,6,0,0,1,0,6.3,6.3,4.5,10.8,88,165,169,0.22,0.14,0.36,0.22,0.36,0.22,0.16,0.39,0.22,0.39,46,30,9,25,12,27,54,50,27,26,1,25,20,66,5,0
26,Adil Aouchiche,Ligue 1,fr FRA,MFFW,Saint-Étienne,19,2002,35,11,1081,12,0,4,4,0,0,0,2,0,1.2,1.2,1.6,2.8,43,75,61,0,0.33,0.33,0,0.33,0.1,0.14,0.23,0.1,0.23,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0
27,Dennis Appiah,Ligue 1,fr FRA,DF,Nantes,29,1992,32,22,2099,23.3,0,0,0,0,0,0,4,0,0,0,0.3,0.3,25,69,58,0,0,0,0,0,0,0.01,0.01,0,0.01,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0
28,Lorenz Assignon,Ligue 1,tg TOG,DF,Rennes,21,2000,20,5,616,6.8,0,2,2,0,0,0,0,0,0.7,0.7,1.1,1.9,19,27,45,0,0.29,0.29,0,0.29,0.11,0.17,0.27,0.11,0.27,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0
29,Youcef Atal,Ligue 1,dz ALG,DF,Nice,25,1996,17,13,1140,12.7,2,1,3,2,0,0,4,0,0.9,0.9,1.3,2.2,63,44,106,0.16,0.08,0.24,0.16,0.24,0.07,0.11,0.18,0.07,0.18,29,19,17,10,2,14,25,56,11,13,2,11,32,61,21,0
30,Jean-Kévin Augustin,Ligue 1,fr FRA,FWMF,Nantes,24,1997,7,0,84,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,0,7,0,0,0,0,0,0.12,0,0.12,0.12,0.12,1,0,0,0,1,0,3,0,3,1,0,1,0,1,0,0
31,Karim Azamoum,Ligue 1,fr FRA,DF,Troyes,31,1990,7,4,388,4.3,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,4,6,4,0,0,0,0,0,0.03,0,0.03,0.03,0.03,6,5,4,2,0,3,5,60,2,4,2,2,1,7,10,0
32,Loïc Bade,Ligue 1,fr FRA,DF,Rennes,21,2000,14,11,985,10.9,0,1,1,0,0,0,3,1,0.3,0.3,0.5,0.8,8,45,3,0,0.09,0.09,0,0.09,0.03,0.05,0.07,0.03,0.07,6,5,4,2,0,3,5,60,2,12,10,2,12,18,48,0
33,Benoît Badiashile,Ligue 1,fr FRA,DF,Monaco,20,2001,24,21,1838,20.4,1,0,1,1,0,0,4,0,1.6,1.6,0.4,2,16,111,5,0.05,0,0.05,0.05,0.05,0.08,0.02,0.1,0.08,0.1,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1
34,Youssouph Badji,Ligue 1,sn SEN,FWMF,Brest,19,2001,9,1,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,0,11,0,0,0,0,0,0.08,0.04,0.12,0.08,0.12,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
