Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Tammy Abraham,Seria A,eng ENG,FW,Roma,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,18.4,4.8,23.2,41,70,199,0.5,0.12,0.61,0.41,0.53,0.6,0.14,0.74,0.54,0.68,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0
2,Francesco Acerbi,Seria A,it ITA,DF,Lazio,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,2.4,0.5,2.9,31,119,10,0.14,0,0.14,0.14,0.14,0.09,0.02,0.1,0.09,0.1,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0
3,Michel Aebischer,Seria A,ch SUI,MF,Bologna,24,1997,12,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,19,9,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0
4,Felix Afena-Gyan,Seria A,gh GHA,FWMF,Roma,18,2003,17,6,668,7.4,2,0,2,2,0,0,5,1,1.7,1.7,0.6,2.2,19,7,77,0.27,0,0.27,0.27,0.27,0.22,0.08,0.3,0.22,0.3,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0
5,Kevin Agudelo,Seria A,co COL,MFFW,Spezia,22,1998,23,12,1237,13.7,3,1,4,3,0,0,2,1,2.6,2.6,0.9,3.5,41,46,56,0.22,0.07,0.29,0.22,0.29,0.19,0.06,0.25,0.19,0.25,44,26,13,26,5,7,20,35,13,22,0,22,8,52,6,0
6,Ola Aina,Seria A,ng NGA,DF,Torino,24,1996,21,17,1437,16,0,0,0,0,0,0,4,0,0.2,0.2,1.8,2,42,68,78,0,0,0,0,0,0.01,0.11,0.12,0.01,0.12,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0
7,Marley Aké,Seria A,fr FRA,FWMF,Juventus,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0
8,Jean-Daniel Akpa-Akpro,Seria A,ci CIV,MF,Lazio,28,1992,10,4,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.2,5,3,8,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0
9,Luis Alberto,Seria A,es ESP,MF,Lazio,28,1992,34,27,2353,26.1,5,9,14,5,0,0,5,0,3.3,3.3,7.8,11.1,84,223,89,0.19,0.34,0.54,0.19,0.54,0.12,0.3,0.42,0.12,0.42,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0
10,Giorgio Altare,Seria A,it ITA,DF,Cagliari,22,1998,19,17,1466,16.3,1,0,1,1,0,0,5,0,1,1,0.6,1.6,13,71,10,0.06,0,0.06,0.06,0.06,0.06,0.04,0.1,0.06,0.1,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0
