Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Luis Abram,La Liga,pe PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,1,10,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,6,3,3,3,0,2,4,50,2,6,5,1,5,11,37,1
2,Marcos Acuña,La Liga,ar ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1
3,Martin Agirregabiria,La Liga,es ESP,DF,Alavés,25,1996,24,17,1616,18,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
4,Julen Agirrezabala,La Liga,es ESP,GK,Athletic Club,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
5,Sergio Agüero,La Liga,ar ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,4,3,13,0.6,0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68,1,1,0,0,1,0,2,0,2,0,0,0,0,1,0,0
6,Álvaro Aguirre,La Liga,es ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Joseph Aidoo,La Liga,gh GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3
8,Carlos Akapo,La Liga,gq EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
9,Ilias Akhomach,La Liga,es ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0,0,0,0,0,0.11,0.43,0.54,0.11,0.54,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
10,Paul Akouokou,La Liga,ci CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0,0,0.1,0.1,3,30,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
11,David Alaba,La Liga,at AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1
12,Tomás Alarcón,La Liga,cl CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6,55,13,0,0.06,0.06,0,0.06,0.07,0.07,0.14,0.07,0.14,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0
13,Jordi Alba,La Liga,es ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1
14,Raúl Albiol,La Liga,es ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0,0,0,0,0,0.01,0,0.02,0.01,0.02,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1
15,Paco Alcácer,La Liga,es ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63,9,3,2,4,3,1,5,20,4,7,0,7,6,15,1,0
16,Rubén Alcaraz,La Liga,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,1.3,1.3,0.9,2.3,26,87,21,0.16,0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0
